,23号館横（乗車のみ）,74号館前（降車のみ）,61号館前（降車のみ）,65号館前（降車のみ）,65号館前（乗車のみ）,61号館前（乗車のみ）,74号館前（乗車のみ）,23号館横（降車のみ）
0,8:20,8:48,8:49,8:50,12:40,12:41,12:42,13:10
1,13:20,13:48,13:49,13:50,14:40,14:41,14:42,15:10
